nm,6 uM,12 uM,18 uM,24 uM,30 uM,36 uM,42 uM,48 uM,54 uM,60 uM
368.8,0.030391566,0.035066265,0.076512048,0.150753012,0.129668675,0.186548193,0.221385542,0.163674699,0.199548193,0.290084337
369.17,0.047391566,0.050066265,0.143512048,0.100753012,0.102668675,0.168548193,0.185385542,0.257674699,0.234548193,0.290084337
369.54,0.002391566,0.062066265,0.131512048,0.111753012,0.091668675,0.143548193,0.225385542,0.192674699,0.208548193,0.261084337
369.9,0.049391566,0.046066265,0.104512048,0.099753012,0.142668675,0.209548193,0.164385542,0.278674699,0.233548193,0.260084337
370.27,0.001391566,0.075066265,0.076512048,0.081753012,0.162668675,0.210548193,0.199385542,0.242674699,0.278548193,0.277084337
370.64,0.047391566,0.045066265,0.099512048,0.121753012,0.145668675,0.203548193,0.179385542,0.255674699,0.243548193,0.253084337
371,0.054391566,0.066066265,0.109512048,0.140753012,0.149668675,0.159548193,0.234385542,0.231674699,0.189548193,0.288084337
371.37,0.039391566,0.046066265,0.119512048,0.167753012,0.160668675,0.143548193,0.251385542,0.259674699,0.208548193,0.291084337
371.74,0.007391566,0.063066265,0.099512048,0.105753012,0.119668675,0.172548193,0.181385542,0.196674699,0.246548193,0.310084337
372.11,0.059391566,0.076066265,0.132512048,0.170753012,0.150668675,0.218548193,0.204385542,0.196674699,0.221548193,0.249084337
372.47,0.047391566,0.086066265,0.106512048,0.134753012,0.130668675,0.130548193,0.251385542,0.276674699,0.255548193,0.287084337
372.84,0.058391566,0.055066265,0.075512048,0.114753012,0.150668675,0.207548193,0.212385542,0.224674699,0.282548193,0.245084337
373.21,0.029391566,0.056066265,0.084512048,0.106753012,0.137668675,0.168548193,0.234385542,0.226674699,0.245548193,0.261084337
373.57,0.040391566,0.045066265,0.105512048,0.121753012,0.179668675,0.199548193,0.259385542,0.236674699,0.232548193,0.249084337
373.94,0.049391566,0.063066265,0.116512048,0.125753012,0.122668675,0.165548193,0.231385542,0.273674699,0.231548193,0.257084337
374.31,0.042391566,0.059066265,0.095512048,0.129753012,0.177668675,0.129548193,0.237385542,0.192674699,0.259548193,0.231084337
374.68,0.065391566,0.082066265,0.090512048,0.135753012,0.137668675,0.170548193,0.212385542,0.260674699,0.256548193,0.314084337
375.04,0.036391566,0.026066265,0.085512048,0.076753012,0.169668675,0.180548193,0.226385542,0.207674699,0.242548193,0.186084337
375.41,0.024391566,0.074066265,0.075512048,0.136753012,0.093668675,0.168548193,0.255385542,0.223674699,0.271548193,0.315084337
375.78,0.024391566,0.064066265,0.084512048,0.106753012,0.176668675,0.208548193,0.206385542,0.268674699,0.286548193,0.313084337
376.14,0.037391566,0.070066265,0.095512048,0.127753012,0.132668675,0.200548193,0.207385542,0.250674699,0.300548193,0.266084337
376.51,0.028391566,0.068066265,0.072512048,0.130753012,0.098668675,0.214548193,0.246385542,0.236674699,0.227548193,0.306084337
376.88,0.054391566,0.065066265,0.077512048,0.119753012,0.131668675,0.195548193,0.285385542,0.253674699,0.266548193,0.302084337
377.24,0.008391566,0.067066265,0.085512048,0.138753012,0.147668675,0.171548193,0.187385542,0.264674699,0.285548193,0.264084337
377.61,0.040391566,0.047066265,0.091512048,0.108753012,0.148668675,0.159548193,0.233385542,0.239674699,0.251548193,0.268084337
377.98,0.045391566,0.062066265,0.074512048,0.121753012,0.163668675,0.221548193,0.177385542,0.212674699,0.260548193,0.287084337
378.34,0.038391566,0.062066265,0.079512048,0.137753012,0.137668675,0.145548193,0.201385542,0.249674699,0.241548193,0.279084337
378.71,0.033391566,0.056066265,0.100512048,0.119753012,0.143668675,0.180548193,0.215385542,0.254674699,0.235548193,0.282084337
379.08,0.027391566,0.082066265,0.096512048,0.115753012,0.167668675,0.192548193,0.210385542,0.213674699,0.241548193,0.256084337
379.44,0.038391566,0.077066265,0.087512048,0.110753012,0.137668675,0.209548193,0.196385542,0.304674699,0.236548193,0.288084337
379.81,0.034391566,0.077066265,0.077512048,0.106753012,0.165668675,0.194548193,0.252385542,0.256674699,0.321548193,0.319084337
380.17,0.032391566,0.072066265,0.117512048,0.123753012,0.152668675,0.150548193,0.233385542,0.261674699,0.246548193,0.284084337
380.54,0.029391566,0.067066265,0.103512048,0.101753012,0.153668675,0.178548193,0.250385542,0.278674699,0.244548193,0.284084337
380.91,0.034391566,0.063066265,0.087512048,0.116753012,0.176668675,0.198548193,0.238385542,0.260674699,0.255548193,0.328084337
381.27,0.026391566,0.084066265,0.080512048,0.122753012,0.152668675,0.192548193,0.210385542,0.234674699,0.244548193,0.285084337
381.64,0.037391566,0.051066265,0.118512048,0.100753012,0.145668675,0.195548193,0.225385542,0.287674699,0.274548193,0.246084337
382.01,0.035391566,0.076066265,0.106512048,0.141753012,0.164668675,0.170548193,0.228385542,0.283674699,0.240548193,0.288084337
382.37,0.041391566,0.068066265,0.103512048,0.129753012,0.138668675,0.171548193,0.238385542,0.278674699,0.259548193,0.268084337
382.74,0.032391566,0.073066265,0.104512048,0.122753012,0.143668675,0.178548193,0.230385542,0.229674699,0.261548193,0.313084337
383.11,0.026391566,0.049066265,0.104512048,0.120753012,0.147668675,0.198548193,0.225385542,0.239674699,0.296548193,0.279084337
383.47,0.050391566,0.057066265,0.107512048,0.125753012,0.154668675,0.153548193,0.254385542,0.280674699,0.271548193,0.279084337
383.84,0.041391566,0.047066265,0.083512048,0.115753012,0.136668675,0.199548193,0.219385542,0.255674699,0.268548193,0.306084337
384.2,0.025391566,0.065066265,0.110512048,0.127753012,0.164668675,0.173548193,0.202385542,0.262674699,0.286548193,0.322084337
384.57,0.023391566,0.071066265,0.095512048,0.130753012,0.159668675,0.201548193,0.226385542,0.254674699,0.274548193,0.301084337
384.94,0.029391566,0.057066265,0.129512048,0.123753012,0.155668675,0.169548193,0.235385542,0.239674699,0.281548193,0.313084337
385.3,0.041391566,0.068066265,0.075512048,0.116753012,0.173668675,0.198548193,0.225385542,0.249674699,0.270548193,0.303084337
385.67,0.029391566,0.045066265,0.077512048,0.135753012,0.182668675,0.211548193,0.247385542,0.255674699,0.275548193,0.332084337
386.03,0.036391566,0.076066265,0.092512048,0.124753012,0.182668675,0.193548193,0.259385542,0.252674699,0.279548193,0.313084337
386.4,0.009391566,0.065066265,0.097512048,0.129753012,0.158668675,0.177548193,0.215385542,0.269674699,0.267548193,0.314084337
386.77,0.018391566,0.057066265,0.095512048,0.122753012,0.150668675,0.191548193,0.232385542,0.250674699,0.275548193,0.299084337
387.13,0.021391566,0.069066265,0.097512048,0.114753012,0.171668675,0.203548193,0.234385542,0.275674699,0.294548193,0.293084337
387.5,0.035391566,0.079066265,0.102512048,0.116753012,0.191668675,0.196548193,0.252385542,0.239674699,0.292548193,0.292084337
387.86,0.027391566,0.070066265,0.107512048,0.118753012,0.167668675,0.185548193,0.255385542,0.255674699,0.269548193,0.291084337
388.23,0.033391566,0.064066265,0.111512048,0.130753012,0.180668675,0.181548193,0.261385542,0.249674699,0.290548193,0.289084337
388.6,0.031391566,0.084066265,0.087512048,0.106753012,0.152668675,0.208548193,0.280385542,0.268674699,0.280548193,0.304084337
388.96,0.038391566,0.063066265,0.096512048,0.124753012,0.155668675,0.189548193,0.249385542,0.263674699,0.289548193,0.295084337
389.33,0.021391566,0.073066265,0.100512048,0.126753012,0.159668675,0.201548193,0.245385542,0.276674699,0.276548193,0.305084337
389.69,0.033391566,0.040066265,0.127512048,0.150753012,0.172668675,0.193548193,0.250385542,0.303674699,0.296548193,0.317084337
390.06,0.028391566,0.070066265,0.096512048,0.118753012,0.177668675,0.182548193,0.249385542,0.275674699,0.314548193,0.345084337
390.42,0.049391566,0.070066265,0.109512048,0.137753012,0.162668675,0.202548193,0.275385542,0.263674699,0.287548193,0.324084337
390.79,0.028391566,0.082066265,0.093512048,0.123753012,0.153668675,0.200548193,0.230385542,0.275674699,0.306548193,0.315084337
391.15,0.026391566,0.065066265,0.111512048,0.143753012,0.156668675,0.193548193,0.253385542,0.272674699,0.284548193,0.317084337
391.52,0.044391566,0.073066265,0.108512048,0.126753012,0.170668675,0.217548193,0.251385542,0.296674699,0.275548193,0.300084337
391.89,0.036391566,0.081066265,0.119512048,0.132753012,0.179668675,0.191548193,0.256385542,0.274674699,0.295548193,0.325084337
392.25,0.031391566,0.086066265,0.095512048,0.123753012,0.157668675,0.185548193,0.254385542,0.276674699,0.294548193,0.325084337
392.62,0.030391566,0.071066265,0.120512048,0.161753012,0.188668675,0.188548193,0.255385542,0.260674699,0.294548193,0.332084337
392.98,0.030391566,0.068066265,0.106512048,0.123753012,0.170668675,0.182548193,0.243385542,0.279674699,0.309548193,0.339084337
393.35,0.043391566,0.088066265,0.087512048,0.131753012,0.165668675,0.217548193,0.260385542,0.287674699,0.310548193,0.317084337
393.71,0.032391566,0.093066265,0.109512048,0.133753012,0.174668675,0.192548193,0.236385542,0.266674699,0.296548193,0.322084337
394.08,0.029391566,0.059066265,0.097512048,0.141753012,0.181668675,0.189548193,0.245385542,0.277674699,0.318548193,0.327084337
394.44,0.037391566,0.063066265,0.115512048,0.127753012,0.160668675,0.200548193,0.239385542,0.288674699,0.280548193,0.315084337
394.81,0.035391566,0.066066265,0.118512048,0.145753012,0.180668675,0.202548193,0.247385542,0.265674699,0.286548193,0.318084337
395.17,0.040391566,0.059066265,0.115512048,0.124753012,0.185668675,0.200548193,0.280385542,0.281674699,0.305548193,0.343084337
395.54,0.030391566,0.064066265,0.102512048,0.136753012,0.168668675,0.201548193,0.256385542,0.288674699,0.315548193,0.322084337
395.9,0.032391566,0.068066265,0.097512048,0.124753012,0.166668675,0.201548193,0.246385542,0.283674699,0.292548193,0.315084337
396.27,0.034391566,0.075066265,0.111512048,0.134753012,0.178668675,0.205548193,0.250385542,0.264674699,0.289548193,0.309084337
396.63,0.034391566,0.066066265,0.114512048,0.125753012,0.177668675,0.200548193,0.247385542,0.274674699,0.289548193,0.334084337
397,0.041391566,0.073066265,0.106512048,0.125753012,0.180668675,0.194548193,0.257385542,0.269674699,0.296548193,0.320084337
397.36,0.029391566,0.068066265,0.114512048,0.139753012,0.172668675,0.205548193,0.275385542,0.283674699,0.294548193,0.334084337
397.73,0.028391566,0.061066265,0.101512048,0.130753012,0.184668675,0.202548193,0.255385542,0.266674699,0.292548193,0.327084337
398.09,0.037391566,0.070066265,0.088512048,0.129753012,0.187668675,0.199548193,0.246385542,0.263674699,0.280548193,0.335084337
398.46,0.026391566,0.060066265,0.106512048,0.130753012,0.189668675,0.216548193,0.258385542,0.290674699,0.299548193,0.299084337
398.82,0.030391566,0.064066265,0.111512048,0.133753012,0.172668675,0.194548193,0.245385542,0.288674699,0.304548193,0.321084337
399.19,0.028391566,0.087066265,0.101512048,0.130753012,0.177668675,0.202548193,0.254385542,0.286674699,0.293548193,0.324084337
399.55,0.036391566,0.071066265,0.104512048,0.136753012,0.158668675,0.192548193,0.257385542,0.275674699,0.291548193,0.315084337
399.92,0.030391566,0.069066265,0.097512048,0.142753012,0.167668675,0.208548193,0.238385542,0.294674699,0.308548193,0.322084337
400.28,0.038391566,0.078066265,0.109512048,0.141753012,0.190668675,0.198548193,0.246385542,0.287674699,0.292548193,0.339084337
400.65,0.039391566,0.071066265,0.101512048,0.146753012,0.179668675,0.214548193,0.252385542,0.284674699,0.280548193,0.334084337
401.01,0.036391566,0.065066265,0.094512048,0.138753012,0.174668675,0.210548193,0.277385542,0.305674699,0.313548193,0.329084337
401.38,0.038391566,0.077066265,0.109512048,0.144753012,0.179668675,0.225548193,0.258385542,0.287674699,0.308548193,0.344084337
401.74,0.023391566,0.080066265,0.119512048,0.135753012,0.189668675,0.212548193,0.267385542,0.283674699,0.316548193,0.338084337
402.11,0.038391566,0.067066265,0.121512048,0.137753012,0.174668675,0.202548193,0.263385542,0.290674699,0.298548193,0.316084337
402.47,0.045391566,0.068066265,0.104512048,0.133753012,0.184668675,0.208548193,0.250385542,0.284674699,0.301548193,0.335084337
402.84,0.032391566,0.073066265,0.100512048,0.141753012,0.179668675,0.202548193,0.256385542,0.285674699,0.309548193,0.346084337
403.2,0.040391566,0.062066265,0.115512048,0.132753012,0.174668675,0.218548193,0.262385542,0.288674699,0.324548193,0.333084337
403.57,0.030391566,0.073066265,0.113512048,0.135753012,0.186668675,0.222548193,0.260385542,0.288674699,0.306548193,0.338084337
403.93,0.032391566,0.073066265,0.109512048,0.140753012,0.176668675,0.217548193,0.266385542,0.295674699,0.313548193,0.340084337
404.3,0.041391566,0.072066265,0.110512048,0.137753012,0.192668675,0.211548193,0.275385542,0.305674699,0.306548193,0.349084337
404.66,0.038391566,0.071066265,0.115512048,0.148753012,0.182668675,0.211548193,0.264385542,0.302674699,0.311548193,0.343084337
405.02,0.046391566,0.078066265,0.109512048,0.142753012,0.183668675,0.219548193,0.266385542,0.295674699,0.318548193,0.348084337
405.39,0.036391566,0.075066265,0.112512048,0.149753012,0.189668675,0.216548193,0.265385542,0.298674699,0.317548193,0.350084337
405.75,0.033391566,0.075066265,0.120512048,0.150753012,0.177668675,0.210548193,0.274385542,0.294674699,0.332548193,0.364084337
406.12,0.036391566,0.083066265,0.112512048,0.147753012,0.183668675,0.211548193,0.268385542,0.284674699,0.313548193,0.351084337
406.48,0.039391566,0.079066265,0.116512048,0.153753012,0.184668675,0.212548193,0.277385542,0.303674699,0.314548193,0.358084337
406.85,0.042391566,0.077066265,0.115512048,0.145753012,0.193668675,0.221548193,0.284385542,0.301674699,0.328548193,0.344084337
407.21,0.033391566,0.072066265,0.111512048,0.152753012,0.179668675,0.229548193,0.293385542,0.297674699,0.315548193,0.356084337
407.57,0.035391566,0.077066265,0.117512048,0.141753012,0.202668675,0.232548193,0.275385542,0.308674699,0.319548193,0.350084337
407.94,0.040391566,0.081066265,0.122512048,0.147753012,0.194668675,0.220548193,0.286385542,0.303674699,0.328548193,0.354084337
408.3,0.041391566,0.067066265,0.123512048,0.144753012,0.195668675,0.220548193,0.292385542,0.302674699,0.318548193,0.357084337
408.67,0.039391566,0.078066265,0.118512048,0.142753012,0.194668675,0.221548193,0.289385542,0.313674699,0.343548193,0.366084337
409.03,0.036391566,0.072066265,0.120512048,0.145753012,0.187668675,0.221548193,0.291385542,0.304674699,0.331548193,0.364084337
409.4,0.041391566,0.078066265,0.109512048,0.150753012,0.195668675,0.228548193,0.282385542,0.302674699,0.328548193,0.361084337
409.76,0.038391566,0.076066265,0.111512048,0.153753012,0.197668675,0.222548193,0.289385542,0.303674699,0.327548193,0.359084337
410.12,0.035391566,0.080066265,0.116512048,0.149753012,0.192668675,0.233548193,0.274385542,0.309674699,0.329548193,0.363084337
410.49,0.036391566,0.078066265,0.125512048,0.147753012,0.188668675,0.217548193,0.284385542,0.305674699,0.329548193,0.366084337
410.85,0.042391566,0.084066265,0.115512048,0.140753012,0.198668675,0.228548193,0.288385542,0.296674699,0.336548193,0.351084337
411.22,0.039391566,0.080066265,0.115512048,0.147753012,0.192668675,0.223548193,0.275385542,0.303674699,0.326548193,0.365084337
411.58,0.039391566,0.079066265,0.108512048,0.144753012,0.206668675,0.226548193,0.285385542,0.314674699,0.324548193,0.368084337
411.94,0.035391566,0.076066265,0.109512048,0.152753012,0.195668675,0.226548193,0.286385542,0.303674699,0.336548193,0.366084337
412.31,0.036391566,0.079066265,0.111512048,0.143753012,0.184668675,0.227548193,0.278385542,0.314674699,0.324548193,0.362084337
412.67,0.045391566,0.081066265,0.110512048,0.150753012,0.192668675,0.229548193,0.280385542,0.303674699,0.338548193,0.363084337
413.03,0.037391566,0.080066265,0.114512048,0.147753012,0.196668675,0.229548193,0.290385542,0.305674699,0.327548193,0.367084337
413.4,0.037391566,0.081066265,0.120512048,0.148753012,0.190668675,0.223548193,0.288385542,0.311674699,0.340548193,0.368084337
413.76,0.040391566,0.075066265,0.122512048,0.141753012,0.194668675,0.217548193,0.275385542,0.311674699,0.332548193,0.362084337
414.13,0.039391566,0.080066265,0.119512048,0.141753012,0.200668675,0.224548193,0.289385542,0.307674699,0.328548193,0.363084337
414.49,0.042391566,0.070066265,0.117512048,0.141753012,0.194668675,0.226548193,0.279385542,0.315674699,0.328548193,0.358084337
414.85,0.040391566,0.075066265,0.116512048,0.151753012,0.193668675,0.229548193,0.286385542,0.307674699,0.321548193,0.366084337
415.22,0.041391566,0.075066265,0.111512048,0.140753012,0.188668675,0.220548193,0.281385542,0.310674699,0.318548193,0.354084337
415.58,0.043391566,0.067066265,0.113512048,0.146753012,0.187668675,0.221548193,0.282385542,0.313674699,0.325548193,0.360084337
415.94,0.043391566,0.075066265,0.114512048,0.142753012,0.191668675,0.227548193,0.276385542,0.300674699,0.325548193,0.354084337
416.31,0.033391566,0.075066265,0.110512048,0.140753012,0.194668675,0.216548193,0.275385542,0.304674699,0.323548193,0.349084337
416.67,0.033391566,0.077066265,0.102512048,0.139753012,0.184668675,0.215548193,0.271385542,0.306674699,0.324548193,0.342084337
417.03,0.040391566,0.067066265,0.111512048,0.139753012,0.184668675,0.214548193,0.276385542,0.303674699,0.323548193,0.351084337
417.4,0.038391566,0.072066265,0.112512048,0.143753012,0.186668675,0.210548193,0.257385542,0.295674699,0.316548193,0.347084337
417.76,0.037391566,0.073066265,0.112512048,0.133753012,0.186668675,0.213548193,0.263385542,0.298674699,0.311548193,0.352084337
418.12,0.039391566,0.072066265,0.111512048,0.136753012,0.181668675,0.210548193,0.272385542,0.295674699,0.316548193,0.352084337
418.49,0.033391566,0.072066265,0.106512048,0.141753012,0.188668675,0.215548193,0.270385542,0.293674699,0.309548193,0.350084337
418.85,0.033391566,0.072066265,0.107512048,0.137753012,0.188668675,0.218548193,0.266385542,0.290674699,0.309548193,0.342084337
